iter	RMSE
0	14.49073132
1	14.09404001
2	13.67779125
3	13.28976705
4	12.9345448
5	12.56920973
6	12.21684346
7	11.88048693
8	11.53904013
9	11.24733046
10	10.96290741
11	10.66247389
12	10.40891318
13	10.13567426
14	9.894513582
15	9.640585856
16	9.425529602
17	9.227578937
18	9.001982199
19	8.795556777
20	8.581893913
21	8.391943358
22	8.19327127
23	8.0092922
24	7.837004396
25	7.651789988
26	7.473048872
27	7.323471697
28	7.177832411
29	7.030501057
30	6.890866488
31	6.761310562
32	6.63498297
33	6.508199209
34	6.379195227
35	6.278064849
36	6.186690186
37	6.089545094
38	5.980786073
39	5.882399488
40	5.786686083
41	5.702584063
42	5.621791969
43	5.545159757
44	5.462711848
45	5.384889412
46	5.311761801
47	5.243112097
48	5.174862636
49	5.116763004
50	5.055174595
51	5.000430068
52	4.942460908
53	4.890503283
54	4.844000137
55	4.790254328
56	4.7437792
57	4.704135551
58	4.656676043
59	4.622701695
60	4.583555638
61	4.539523796
62	4.509217041
63	4.475181978
64	4.437334817
65	4.402445624
66	4.371190472
67	4.344578389
68	4.313333138
69	4.280019238
70	4.249960028
71	4.220848173
72	4.195261744
73	4.167319975
74	4.14228211
75	4.12049709
76	4.098187528
77	4.073375454
78	4.051393645
79	4.029394886
80	4.010637971
81	3.987360708
82	3.967188976
83	3.950510853
84	3.935440558
85	3.916780894
86	3.90237585
87	3.884412305
88	3.871309184
89	3.853013848
90	3.838523866
91	3.824099608
92	3.808391862
93	3.792501252
94	3.779467471
95	3.76892967
96	3.756493508
97	3.742980565
98	3.730703126
99	3.712549624
100	3.700608054
101	3.688639272
102	3.674933809
103	3.664332749
104	3.654366835
105	3.645001106
106	3.634915601
107	3.62315632
108	3.612653106
109	3.60658231
110	3.591072564
111	3.577510416
112	3.566994201
113	3.555432851
114	3.543992006
115	3.537490427
116	3.527827439
117	3.517016445
118	3.508870025
119	3.499103953
120	3.487657776
121	3.481749192
122	3.472976405
123	3.459771255
124	3.448080485
125	3.444140753
126	3.43283621
127	3.423875692
128	3.414214636
129	3.403639679
130	3.398609316
131	3.391734203
132	3.385535733
133	3.382789727
134	3.374537603
135	3.364626405
136	3.364016937
137	3.353333887
138	3.346314896
139	3.335571278
140	3.327129531
141	3.314791407
142	3.311431765
143	3.304691809
144	3.298943425
145	3.295759003
146	3.291074208
147	3.283490983
148	3.276682024
149	3.269005203
150	3.264922988
151	3.2595114
152	3.249577803
153	3.241268631
154	3.233780455
155	3.229705694
156	3.220755855
157	3.21460406
158	3.20704677
159	3.197895072
160	3.194280426
161	3.18888714
162	3.180202194
163	3.172716111
164	3.164754317
165	3.158298224
166	3.149913489
167	3.143182091
168	3.139668002
169	3.134936606
170	3.132754468
171	3.124898217
172	3.119199709
173	3.111111305
174	3.102424462
175	3.097880974
176	3.091039925
177	3.07980126
178	3.075024988
179	3.069342204
180	3.064337602
181	3.056870417
182	3.049491341
183	3.042399462
184	3.039508137
185	3.030806662
186	3.020693979
187	3.012483499
188	3.006051246
189	3.000526439
190	2.995753581
191	2.990815097
192	2.981799888
193	2.975627194
194	2.971566694
195	2.962471658
196	2.954782857
197	2.946760658
198	2.93827467
199	2.932685974
200	2.930211767
201	2.919540601
202	2.910834126
203	2.907789142
204	2.902490112
205	2.897772287
206	2.892056693
207	2.885465056
208	2.875048321
209	2.865900636
210	2.861031367
211	2.855888784
212	2.849439917
213	2.84664933
