iter	Passed	Remaining
0	157	157241
1	159	79369
2	161	53522
3	162	40515
4	164	32747
5	166	27658
6	169	24016
7	171	21280
8	174	19239
9	200	19886
10	203	18270
11	205	16917
12	207	15779
13	210	14801
14	212	13955
15	234	14437
16	236	13668
17	237	12980
18	239	12362
19	241	11831
20	242	11324
21	244	10869
22	245	10445
23	248	10099
24	250	9780
25	253	9482
26	255	9205
27	257	8950
28	259	8678
29	260	8422
30	261	8180
31	262	7954
32	264	7743
33	265	7545
34	266	7357
35	268	7180
36	269	7011
37	270	6857
38	272	6709
39	273	6566
40	274	6429
41	276	6299
42	277	6174
43	278	6054
44	279	5940
45	281	5831
46	282	5727
47	283	5626
48	284	5529
49	286	5439
50	287	5351
51	288	5268
52	290	5187
53	291	5110
54	292	5034
55	294	4962
56	295	4892
57	297	4824
58	298	4757
59	299	4692
60	300	4631
61	302	4573
62	303	4515
63	304	4458
64	306	4403
65	307	4351
66	308	4300
67	310	4249
68	311	4199
69	312	4151
70	313	4105
71	315	4060
72	316	4018
73	317	3976
74	319	3937
75	320	3897
76	321	3857
77	323	3818
78	324	3780
79	325	3744
80	326	3707
81	328	3672
82	329	3638
83	330	3604
84	331	3573
85	333	3541
86	334	3509
87	335	3478
88	336	3448
89	338	3418
90	339	3389
91	340	3360
92	342	3337
93	343	3309
94	344	3283
95	345	3256
96	347	3231
97	348	3206
98	349	3181
99	350	3157
100	352	3134
101	353	3111
102	354	3088
103	355	3065
104	357	3043
105	358	3021
106	359	2999
107	360	2978
108	361	2958
109	363	2938
110	364	2918
111	365	2898
112	366	2879
113	368	2860
114	369	2841
115	370	2823
116	371	2804
117	372	2786
118	374	2769
119	375	2752
120	376	2735
121	377	2719
122	379	2702
123	380	2686
124	381	2672
125	383	2657
126	384	2641
127	385	2626
128	386	2611
129	387	2596
130	389	2581
131	390	2566
132	391	2552
133	392	2539
134	394	2526
135	395	2513
136	396	2496
137	397	2483
138	398	2470
139	400	2457
140	401	2444
141	402	2431
142	403	2419
143	404	2406
144	406	2394
145	407	2383
146	408	2371
147	409	2359
148	411	2348
149	412	2336
150	413	2325
151	414	2313
152	415	2302
153	417	2292
154	418	2281
155	419	2270
156	420	2259
157	422	2249
158	423	2239
159	424	2230
160	426	2220
161	427	2210
162	428	2200
163	429	2190
164	430	2180
165	432	2170
166	433	2161
167	434	2151
168	435	2142
169	436	2132
170	438	2124
171	439	2115
172	440	2106
173	441	2097
174	442	2088
175	444	2079
176	445	2070
177	446	2061
178	447	2053
179	448	2044
180	449	2035
181	451	2027
182	452	2019
183	453	2011
184	454	2003
185	456	1995
186	457	1987
187	458	1979
188	459	1971
189	460	1964
190	461	1956
191	463	1948
192	464	1941
193	465	1933
194	466	1926
195	468	1920
196	469	1913
197	470	1906
198	471	1899
199	473	1892
200	474	1885
201	475	1878
202	476	1871
203	477	1864
204	479	1857
205	480	1851
206	481	1845
207	482	1838
208	484	1832
209	485	1825
210	486	1819
211	487	1812
212	488	1806
213	490	1800
214	491	1793
215	492	1787
216	493	1781
217	494	1775
218	496	1769
219	497	1762
220	498	1756
221	499	1751
222	500	1745
223	502	1739
224	503	1733
225	504	1727
226	505	1722
227	506	1716
228	508	1710
229	509	1705
230	510	1700
231	512	1695
232	513	1691
233	515	1686
234	516	1681
235	518	1677
236	519	1672
237	521	1668
238	522	1663
239	523	1658
240	524	1653
241	526	1647
242	527	1642
243	528	1637
244	529	1632
245	531	1627
246	532	1622
247	533	1617
248	534	1612
249	535	1606
250	536	1601
251	537	1596
252	539	1592
253	540	1587
254	541	1582
255	542	1577
256	544	1573
257	545	1568
258	546	1563
259	547	1559
260	549	1554
261	550	1549
262	551	1545
263	552	1540
264	553	1536
265	555	1532
266	556	1527
267	557	1523
268	559	1519
269	560	1516
270	562	1511
271	563	1507
272	564	1502
273	565	1498
274	566	1493
275	567	1488
276	568	1484
277	570	1480
278	571	1476
279	572	1472
280	574	1469
281	575	1466
282	577	1462
283	578	1458
284	580	1455
285	581	1452
286	582	1448
287	584	1444
288	585	1441
289	587	1437
290	588	1433
291	589	1429
292	591	1426
293	593	1424
294	594	1420
295	595	1417
296	597	1413
297	598	1409
298	599	1405
299	600	1402
300	602	1398
301	603	1394
302	604	1391
303	605	1387
304	607	1384
305	608	1380
306	609	1376
307	611	1373
308	612	1369
309	613	1366
310	614	1362
311	616	1358
312	617	1355
313	618	1351
314	619	1348
315	621	1345
316	622	1341
317	624	1338
318	625	1334
319	626	1331
320	627	1327
321	629	1324
322	630	1321
323	631	1318
324	632	1314
325	634	1311
326	635	1307
327	636	1304
328	638	1301
329	639	1297
330	640	1294
331	641	1290
332	642	1287
333	643	1284
334	645	1280
335	646	1277
336	647	1273
337	648	1270
338	649	1267
339	651	1263
340	652	1261
341	653	1258
342	655	1254
343	656	1251
344	657	1248
345	658	1244
346	659	1241
347	660	1238
348	662	1234
349	663	1231
350	664	1228
351	665	1224
352	666	1222
353	667	1218
354	669	1215
355	670	1212
356	671	1208
357	672	1205
358	673	1202
359	674	1199
360	675	1196
361	676	1193
362	678	1190
363	679	1186
364	680	1183
365	681	1181
366	683	1178
367	684	1175
368	685	1172
369	686	1169
370	687	1166
371	689	1163
372	690	1160
373	691	1157
374	692	1154
375	693	1151
376	694	1148
377	695	1145
378	697	1142
379	698	1139
380	699	1136
381	700	1133
382	701	1130
383	703	1127
384	704	1125
385	705	1122
386	706	1118
387	707	1116
388	708	1113
389	709	1109
390	710	1107
391	712	1104
392	713	1101
393	714	1098
394	715	1096
395	716	1093
396	717	1090
397	719	1087
398	720	1085
399	721	1082
400	722	1079
401	723	1076
402	724	1073
403	725	1070
404	727	1068
405	728	1065
406	729	1062
407	730	1059
408	731	1057
409	732	1054
410	733	1051
411	735	1050
412	737	1047
413	738	1044
414	739	1042
415	740	1039
416	741	1036
417	742	1034
418	743	1031
419	744	1028
420	746	1026
421	747	1023
422	748	1020
423	749	1018
424	750	1015
425	751	1013
426	753	1010
427	754	1007
428	755	1005
429	756	1003
430	758	1000
431	759	998
432	760	995
433	761	993
434	762	990
435	763	987
436	764	985
437	765	982
438	767	980
439	768	977
440	769	975
441	770	972
442	771	969
443	772	967
444	773	965
445	774	962
446	776	960
447	777	957
448	778	955
449	779	953
450	780	950
451	782	948
452	783	945
453	784	943
454	785	940
455	786	938
456	787	936
457	789	933
458	790	931
459	791	928
460	792	926
461	793	923
462	794	921
463	795	919
464	796	916
465	797	914
466	798	911
467	799	909
468	801	906
469	802	904
470	803	902
471	804	900
472	805	897
473	806	895
474	807	893
475	809	890
476	810	888
477	811	886
478	812	883
479	813	881
480	814	878
481	815	876
482	816	874
483	818	872
484	819	870
485	820	867
486	821	865
487	822	863
488	823	860
489	825	858
490	826	856
491	827	854
492	828	852
493	829	849
494	830	847
495	832	845
496	833	843
497	834	841
498	835	838
499	836	836
500	837	834
501	838	832
502	840	830
503	841	827
504	842	825
505	843	823
506	844	821
507	845	819
508	846	816
509	848	815
510	849	813
511	850	810
512	851	808
513	853	806
514	854	804
515	855	802
516	856	800
517	857	797
518	858	795
519	859	793
520	860	791
521	861	789
522	863	787
523	864	785
524	865	783
525	866	780
526	867	778
527	868	776
528	869	774
529	871	772
530	872	770
531	873	768
532	874	766
533	875	763
534	876	761
535	877	759
536	878	757
537	880	755
538	881	753
539	882	751
540	883	749
541	885	747
542	886	746
543	887	743
544	888	741
545	889	739
546	890	737
547	891	735
548	892	733
549	894	731
550	895	729
551	896	727
552	897	725
553	899	723
554	900	722
555	901	720
556	902	717
557	903	715
558	904	713
559	906	711
560	907	709
561	908	707
562	909	706
563	910	704
564	911	702
565	913	700
566	914	698
567	915	696
568	916	694
569	917	692
570	918	690
571	919	688
572	921	686
573	922	684
574	923	682
575	924	680
576	925	678
577	927	676
578	928	674
579	929	673
580	931	671
581	932	669
582	933	667
583	934	665
584	935	663
585	937	662
586	938	660
587	939	658
588	941	656
589	942	654
590	943	653
591	944	651
592	945	649
593	946	647
594	948	645
595	949	643
596	950	641
597	951	639
598	952	637
599	953	635
600	955	634
601	956	632
602	957	630
603	958	628
604	959	626
605	960	624
606	961	622
607	963	620
608	964	619
609	965	617
610	966	615
611	967	613
612	969	611
613	970	610
614	971	608
615	972	606
616	973	604
617	974	602
618	975	600
619	977	598
620	978	596
621	979	595
622	980	593
623	981	591
624	982	589
625	984	587
626	985	586
627	986	584
628	987	582
629	988	580
630	989	578
631	990	576
632	991	575
633	993	573
634	994	571
635	995	569
636	996	568
637	997	566
638	999	564
639	1000	562
640	1001	560
641	1002	559
642	1003	557
643	1004	555
644	1005	553
645	1006	551
646	1008	550
647	1009	548
648	1010	546
649	1011	544
650	1012	542
651	1013	541
652	1014	539
653	1015	537
654	1016	535
655	1017	533
656	1019	532
657	1020	530
658	1021	528
659	1022	526
660	1023	524
661	1024	523
662	1025	521
663	1027	519
664	1028	518
665	1029	516
666	1030	514
667	1031	512
668	1032	510
669	1033	509
670	1034	507
671	1036	505
672	1037	503
673	1038	502
674	1039	500
675	1041	498
676	1042	497
677	1043	495
678	1044	493
679	1045	492
680	1046	490
681	1047	488
682	1049	486
683	1050	485
684	1051	483
685	1052	481
686	1053	480
687	1054	478
688	1056	476
689	1057	475
690	1058	473
691	1059	471
692	1061	470
693	1062	468
694	1063	466
695	1064	464
696	1065	463
697	1066	461
698	1067	459
699	1068	458
700	1070	456
701	1071	454
702	1072	453
703	1073	451
704	1074	449
705	1075	448
706	1077	446
707	1078	444
708	1079	442
709	1080	441
710	1081	439
711	1082	437
712	1083	436
713	1084	434
714	1085	432
715	1087	431
716	1089	429
717	1090	428
718	1091	426
719	1092	424
720	1093	423
721	1094	421
722	1096	419
723	1097	418
724	1098	416
725	1099	414
726	1100	413
727	1101	411
728	1102	409
729	1103	408
730	1104	406
731	1105	404
732	1107	403
733	1108	401
734	1109	399
735	1110	398
736	1111	396
737	1112	395
738	1113	393
739	1114	391
740	1116	390
741	1117	388
742	1118	386
743	1119	385
744	1120	383
745	1121	381
746	1122	380
747	1124	378
748	1125	377
749	1126	375
750	1127	373
751	1128	372
752	1129	370
753	1130	368
754	1132	367
755	1133	365
756	1134	364
757	1135	362
758	1136	360
759	1137	359
760	1138	357
761	1140	356
762	1141	354
763	1142	352
764	1143	351
765	1144	349
766	1145	348
767	1147	346
768	1148	344
769	1149	343
770	1150	341
771	1151	340
772	1152	338
773	1153	336
774	1154	335
775	1155	333
776	1156	332
777	1158	330
778	1159	328
779	1160	327
780	1161	325
781	1162	324
782	1163	322
783	1164	320
784	1166	319
785	1167	317
786	1168	316
787	1169	314
788	1170	313
789	1171	311
790	1173	309
791	1174	308
792	1175	306
793	1176	305
794	1177	303
795	1178	302
796	1179	300
797	1180	298
798	1181	297
799	1183	295
800	1184	294
801	1185	292
802	1186	291
803	1187	289
804	1188	287
805	1190	286
806	1191	284
807	1192	283
808	1193	281
809	1194	280
810	1195	278
811	1196	277
812	1197	275
813	1198	273
814	1200	272
815	1201	270
816	1202	269
817	1203	267
818	1204	266
819	1205	264
820	1207	263
821	1208	261
822	1209	260
823	1210	258
824	1211	257
825	1212	255
826	1213	253
827	1215	252
828	1216	250
829	1217	249
830	1218	247
831	1220	246
832	1221	244
833	1222	243
834	1223	241
835	1224	240
836	1225	238
837	1226	237
838	1227	235
839	1229	234
840	1230	232
841	1231	231
842	1232	229
843	1233	228
844	1234	226
845	1236	224
846	1237	223
847	1238	221
848	1239	220
849	1240	218
850	1241	217
851	1242	215
852	1244	214
853	1245	212
854	1246	211
855	1247	209
856	1249	208
857	1250	206
858	1251	205
859	1252	203
860	1253	202
861	1254	200
862	1255	199
863	1256	197
864	1257	196
865	1259	194
866	1260	193
867	1261	191
868	1262	190
869	1263	188
870	1264	187
871	1266	185
872	1267	184
873	1268	182
874	1269	181
875	1270	179
876	1271	178
877	1272	176
878	1274	175
879	1275	173
880	1276	172
881	1277	170
882	1278	169
883	1279	167
884	1281	166
885	1282	164
886	1283	163
887	1284	161
888	1285	160
889	1286	159
890	1287	157
891	1288	156
892	1289	154
893	1291	153
894	1292	151
895	1293	150
896	1294	148
897	1295	147
898	1296	145
899	1297	144
900	1298	142
901	1300	141
902	1301	139
903	1302	138
904	1303	136
905	1304	135
906	1305	133
907	1306	132
908	1308	130
909	1309	129
910	1310	128
911	1311	126
912	1312	125
913	1313	123
914	1314	122
915	1315	120
916	1317	119
917	1318	117
918	1319	116
919	1320	114
920	1321	113
921	1322	111
922	1323	110
923	1324	108
924	1326	107
925	1327	106
926	1328	104
927	1329	103
928	1330	101
929	1331	100
930	1332	98
931	1333	97
932	1334	95
933	1336	94
934	1337	92
935	1338	91
936	1339	90
937	1340	88
938	1341	87
939	1342	85
940	1343	84
941	1345	82
942	1346	81
943	1347	79
944	1348	78
945	1349	77
946	1350	75
947	1352	74
948	1353	72
949	1354	71
950	1355	69
951	1356	68
952	1357	66
953	1358	65
954	1360	64
955	1361	62
956	1362	61
957	1363	59
958	1364	58
959	1365	56
960	1366	55
961	1367	54
962	1369	52
963	1370	51
964	1371	49
965	1372	48
966	1373	46
967	1374	45
968	1375	44
969	1376	42
970	1377	41
971	1378	39
972	1380	38
973	1381	36
974	1382	35
975	1383	34
976	1384	32
977	1385	31
978	1386	29
979	1388	28
980	1389	26
981	1390	25
982	1391	24
983	1392	22
984	1393	21
985	1394	19
986	1395	18
987	1396	16
988	1397	15
989	1399	14
990	1400	12
991	1401	11
992	1402	9
993	1403	8
994	1404	7
995	1405	5
996	1406	4
997	1407	2
998	1409	1
999	1410	0
